"TargetModule","Coverage"
"triangle","1.0"
"triangle_types","1.0"
"triangle","1.0"
"triangle","1.0"
"triangle_types","1.0"
"triangle","1.0"
"triangle_types","1.0"
"triangle","1.0"
"triangle_types","1.0"
"triangle","1.0"
"triangle_types","1.0"
"triangle","1.0"
"triangle_types","1.0"
"sneaky_div","1.0"
"sneaky_div_types","1.0"
"triangle","1.0"
"triangle_types","1.0"
"triangle","1.0"
"triangle_types","1.0"
"add","1.0"
"add_types","1.0"
"choice","1.0"
"choice_types","1.0"
"count","1.0"
"count_types","1.0"
"pet","0.9333333333333333"
"pet_types","0.9333333333333333"
"queue_types","1.0"
"sneaky_div","1.0"
"sneaky_div_types","1.0"
"triangle","1.0"
"triangle_types","1.0"
"uninterpretable","1.0"
"uninterpretable_types","1.0"
"add_bug1","1.0"
"add_bug1_types","1.0"
"add_bug2","1.0"
"add_bug2_types","1.0"
"add_bug3","1.0"
"add_bug3_types","1.0"
